id,player_name,game_date,opponent_team,is_home,prop_type,actual_result,closing_line
5813,"Alperen Sengun",2026-02-11,LAC,1,assists,6.0,
5816,"Alperen Sengun",2026-02-11,LAC,1,pa,22.0,
5811,"Alperen Sengun",2026-02-11,LAC,1,points,16.0,
5815,"Alperen Sengun",2026-02-11,LAC,1,pr,25.0,
5814,"Alperen Sengun",2026-02-11,LAC,1,pra,31.0,
5817,"Alperen Sengun",2026-02-11,LAC,1,ra,15.0,
5812,"Alperen Sengun",2026-02-11,LAC,1,rebounds,9.0,
5820,"Alperen Sengun",2026-02-10,LAC,1,assists,5.0,
5823,"Alperen Sengun",2026-02-10,LAC,1,pa,27.0,
5818,"Alperen Sengun",2026-02-10,LAC,1,points,22.0,
5822,"Alperen Sengun",2026-02-10,LAC,1,pr,29.0,
5821,"Alperen Sengun",2026-02-10,LAC,1,pra,34.0,
5824,"Alperen Sengun",2026-02-10,LAC,1,ra,12.0,
5819,"Alperen Sengun",2026-02-10,LAC,1,rebounds,7.0,
5827,"Alperen Sengun",2026-02-07,OKC,0,assists,11.0,
5830,"Alperen Sengun",2026-02-07,OKC,0,pa,28.0,
5825,"Alperen Sengun",2026-02-07,OKC,0,points,17.0,
5829,"Alperen Sengun",2026-02-07,OKC,0,pr,29.0,
5828,"Alperen Sengun",2026-02-07,OKC,0,pra,40.0,
5831,"Alperen Sengun",2026-02-07,OKC,0,ra,23.0,
5826,"Alperen Sengun",2026-02-07,OKC,0,rebounds,12.0,
5834,"Alperen Sengun",2026-02-05,CHA,1,assists,5.0,
5837,"Alperen Sengun",2026-02-05,CHA,1,pa,12.0,
5832,"Alperen Sengun",2026-02-05,CHA,1,points,7.0,
5836,"Alperen Sengun",2026-02-05,CHA,1,pr,16.0,
5835,"Alperen Sengun",2026-02-05,CHA,1,pra,21.0,
5838,"Alperen Sengun",2026-02-05,CHA,1,ra,14.0,
5833,"Alperen Sengun",2026-02-05,CHA,1,rebounds,9.0,
5841,"Alperen Sengun",2026-02-04,BOS,1,assists,3.0,
5844,"Alperen Sengun",2026-02-04,BOS,1,pa,16.0,
5839,"Alperen Sengun",2026-02-04,BOS,1,points,13.0,
5843,"Alperen Sengun",2026-02-04,BOS,1,pr,22.0,
5842,"Alperen Sengun",2026-02-04,BOS,1,pra,25.0,
5845,"Alperen Sengun",2026-02-04,BOS,1,ra,12.0,
5840,"Alperen Sengun",2026-02-04,BOS,1,rebounds,9.0,
5848,"Alperen Sengun",2026-02-02,IND,0,assists,5.0,
5851,"Alperen Sengun",2026-02-02,IND,0,pa,44.0,
5846,"Alperen Sengun",2026-02-02,IND,0,points,39.0,
5850,"Alperen Sengun",2026-02-02,IND,0,pr,55.0,
5849,"Alperen Sengun",2026-02-02,IND,0,pra,60.0,
5852,"Alperen Sengun",2026-02-02,IND,0,ra,21.0,
5847,"Alperen Sengun",2026-02-02,IND,0,rebounds,16.0,
5855,"Alperen Sengun",2026-01-31,DAL,1,assists,7.0,
5858,"Alperen Sengun",2026-01-31,DAL,1,pa,21.0,
5853,"Alperen Sengun",2026-01-31,DAL,1,points,14.0,
5857,"Alperen Sengun",2026-01-31,DAL,1,pr,28.0,
5856,"Alperen Sengun",2026-01-31,DAL,1,pra,35.0,
5859,"Alperen Sengun",2026-01-31,DAL,1,ra,21.0,
5854,"Alperen Sengun",2026-01-31,DAL,1,rebounds,14.0,
5862,"Alperen Sengun",2026-01-29,ATL,0,assists,4.0,
5865,"Alperen Sengun",2026-01-29,ATL,0,pa,13.0,
5860,"Alperen Sengun",2026-01-29,ATL,0,points,9.0,
5864,"Alperen Sengun",2026-01-29,ATL,0,pr,22.0,
5863,"Alperen Sengun",2026-01-29,ATL,0,pra,26.0,
5866,"Alperen Sengun",2026-01-29,ATL,0,ra,17.0,
5861,"Alperen Sengun",2026-01-29,ATL,0,rebounds,13.0,
5869,"Alperen Sengun",2026-01-28,SAS,1,assists,7.0,
5872,"Alperen Sengun",2026-01-28,SAS,1,pa,25.0,
5867,"Alperen Sengun",2026-01-28,SAS,1,points,18.0,
5871,"Alperen Sengun",2026-01-28,SAS,1,pr,28.0,
5870,"Alperen Sengun",2026-01-28,SAS,1,pra,35.0,
5873,"Alperen Sengun",2026-01-28,SAS,1,ra,17.0,
5868,"Alperen Sengun",2026-01-28,SAS,1,rebounds,10.0,
5876,"Alperen Sengun",2026-01-26,MEM,1,assists,6.0,
5879,"Alperen Sengun",2026-01-26,MEM,1,pa,39.0,
5874,"Alperen Sengun",2026-01-26,MEM,1,points,33.0,
5878,"Alperen Sengun",2026-01-26,MEM,1,pr,42.0,
5877,"Alperen Sengun",2026-01-26,MEM,1,pra,48.0,
5880,"Alperen Sengun",2026-01-26,MEM,1,ra,15.0,
5875,"Alperen Sengun",2026-01-26,MEM,1,rebounds,9.0,
5883,"Alperen Sengun",2026-01-23,DET,0,assists,5.0,
5886,"Alperen Sengun",2026-01-23,DET,0,pa,24.0,
