iter	Logloss
0	0.6929666003
1	0.6926313597
2	0.6923980693
3	0.6922050777
4	0.6918737174
5	0.6915613376
6	0.6913104021
7	0.6910002826
8	0.6906909752
9	0.6904597603
10	0.6901289236
11	0.6898579267
12	0.6895523456
13	0.6892730972
14	0.6891056103
15	0.6889072566
16	0.6887792714
17	0.6886115373
18	0.6884592201
19	0.6883257883
20	0.6881564505
21	0.687937971
22	0.6877418622
23	0.687619795
24	0.687404093
25	0.6872405628
26	0.6869269623
27	0.6868049955
28	0.6866971676
29	0.6865480177
30	0.6862898859
31	0.6861556084
32	0.6858896134
33	0.6853478973
34	0.685177421
35	0.6850722933
36	0.6848631389
37	0.6846706211
38	0.6844248878
39	0.6841408428
40	0.6840125445
41	0.6839004225
42	0.6838310779
43	0.6837521824
44	0.6836010034
45	0.6835213307
46	0.6834364296
47	0.6832117127
48	0.6831804248
49	0.6830543929
50	0.6829216886
51	0.6826657902
52	0.6826020036
53	0.6825023865
54	0.682399425
55	0.6823376197
56	0.682281867
57	0.6821993432
58	0.6820986714
59	0.6819092572
60	0.6817367502
61	0.6816364863
62	0.6815172684
63	0.681410071
64	0.6813267312
65	0.6811074834
66	0.6810305469
67	0.6808241414
68	0.6806440402
69	0.6806297142
70	0.6806104467
71	0.6805173849
72	0.6803145535
73	0.680154435
74	0.6800466078
75	0.6799831541
76	0.6799188269
77	0.6798032586
78	0.6796436374
79	0.679610591
80	0.679476431
81	0.679273008
82	0.6792071816
83	0.6791213694
84	0.678951526
85	0.6789121442
86	0.6788101134
87	0.6786103641
88	0.6785604145
89	0.6784093589
90	0.67833401
91	0.678263778
92	0.678147454
93	0.6780165866
94	0.6778894822
95	0.6778118655
96	0.6776958221
97	0.6775476689
98	0.6774302312
99	0.6773945574
100	0.6772604452
101	0.6772278315
102	0.6770074951
103	0.6768652798
104	0.6767639563
105	0.6765655308
106	0.6765167543
107	0.6764639397
108	0.676391776
109	0.6761943785
110	0.6761526825
111	0.6760286903
112	0.6758950786
113	0.6757238993
114	0.6756676834
115	0.675480469
116	0.675382013
117	0.6753359907
118	0.6752792593
119	0.6751321411
120	0.6750849359
121	0.6750726596
122	0.6750382297
123	0.6748664727
124	0.6748256784
125	0.6746870851
126	0.6745945775
127	0.6745236891
128	0.6744954225
129	0.6744246398
130	0.6743635428
131	0.6742181779
132	0.6741846098
133	0.6740922685
134	0.6740117222
135	0.6739490901
136	0.6738439695
137	0.6737976196
138	0.6735666457
139	0.6735379937
140	0.6734380889
141	0.6734380742
142	0.6734137726
143	0.673233641
144	0.6731920779
145	0.6731480572
146	0.6730984202
147	0.6730423989
148	0.6730213031
149	0.6727078223
150	0.6725673023
151	0.6725673023
152	0.6723992632
153	0.6723355284
154	0.6722470965
155	0.6720709033
156	0.6720476994
157	0.672024056
158	0.6719524944
159	0.6719018533
160	0.6718070201
161	0.6715868326
162	0.6713799347
163	0.6713016016
164	0.6712504815
165	0.6712082535
166	0.6711274762
167	0.6710083937
168	0.6708331783
169	0.6707034437
170	0.6706102209
171	0.6704980353
172	0.6704464004
173	0.6704080864
174	0.6703791071
175	0.6703226114
176	0.6702950733
177	0.6702170115
178	0.6701201225
179	0.6699747314
180	0.6697609088
181	0.6696236761
182	0.6695590419
183	0.6694738285
184	0.6694120133
185	0.6692450758
186	0.6689012313
187	0.6688524726
188	0.6687316777
189	0.6685920423
190	0.6685147227
