iter	Passed	Remaining
0	11	5578
1	21	5368
2	31	5213
3	41	5171
4	51	5120
5	61	5036
6	70	5000
7	80	4935
8	89	4890
9	99	4851
10	108	4819
11	117	4783
12	126	4739
13	136	4755
14	146	4728
15	155	4715
16	164	4678
17	174	4682
18	183	4646
19	192	4613
20	201	4591
21	210	4568
22	219	4549
23	227	4507
24	236	4484
25	245	4479
26	256	4499
27	265	4476
28	274	4462
29	285	4468
30	295	4464
31	303	4444
32	313	4442
33	323	4431
34	332	4413
35	341	4397
36	350	4387
37	359	4374
38	367	4349
39	377	4341
40	386	4327
41	394	4305
42	402	4282
43	412	4273
44	421	4263
45	431	4262
46	439	4233
47	447	4211
48	458	4224
49	469	4225
50	479	4220
51	487	4202
52	496	4185
53	504	4168
54	514	4164
55	523	4152
56	532	4137
57	540	4119
58	549	4104
59	557	4086
60	566	4077
61	577	4077
62	586	4065
63	594	4047
64	604	4043
65	615	4048
66	625	4040
67	634	4033
68	644	4028
69	653	4012
70	661	3994
71	670	3983
72	680	3982
73	691	3980
74	701	3977
75	712	3974
76	723	3976
77	734	3972
78	743	3963
79	753	3953
80	763	3947
81	772	3940
82	781	3927
83	789	3910
84	798	3897
85	807	3885
86	816	3874
87	826	3869
88	837	3866
89	846	3857
90	856	3847
91	864	3835
92	874	3826
93	882	3813
94	891	3802
95	901	3795
96	910	3783
97	919	3773
98	930	3767
99	939	3758
100	951	3758
101	960	3748
102	970	3739
103	979	3730
104	989	3723
105	999	3716
106	1009	3705
107	1018	3697
108	1027	3685
109	1037	3676
110	1049	3676
111	1058	3666
112	1067	3656
113	1077	3649
114	1087	3640
115	1096	3630
116	1105	3619
117	1113	3605
118	1123	3596
119	1133	3590
120	1143	3582
121	1152	3570
122	1161	3558
123	1170	3550
124	1179	3539
125	1189	3530
126	1199	3521
127	1208	3511
128	1216	3497
129	1224	3484
130	1232	3472
131	1242	3465
132	1251	3453
133	1260	3442
134	1269	3432
135	1278	3422
136	1287	3411
137	1296	3401
138	1305	3390
139	1313	3376
140	1322	3367
141	1328	3349
142	1337	3338
143	1347	3331
144	1355	3319
145	1364	3308
146	1373	3299
147	1383	3290
148	1389	3273
149	1398	3264
