id,player_name,game_date,opponent_team,prop_type,hit,is_home,is_b2b,games_experience,minutes_bucket,closing_line,season_avg,last_10_avg,last_5_avg,std_dev,games_played,minutes_avg,days_rest,line_vs_season,line_vs_recent,form_trend,line_difficulty,actual_result,split,parsed_date
5813,Alperen Sengun,2/11/26,LAC,assists,1,1,1,experienced,high,5.5,6.3,5.8,5.8,2.5,45,34.0,0,-0.7999999999999998,-0.2999999999999998,0.0,-0.31999999999999995,6,test,2026-02-11
5816,Alperen Sengun,2/11/26,LAC,pa,0,1,1,experienced,high,24.5,27.1,24.9,25.4,9.2,45,34.0,0,-2.6000000000000014,-0.3999999999999986,0.5,-0.2826086956521741,22,test,2026-02-11
5811,Alperen Sengun,2/11/26,LAC,points,0,1,1,experienced,high,18.5,20.8,19.1,19.6,8.1,45,34.0,0,-2.3000000000000007,-0.6000000000000014,0.5,-0.2839506172839507,16,test,2026-02-11
5815,Alperen Sengun,2/11/26,LAC,pr,0,1,1,experienced,high,27.5,30.2,29.1,30.2,9.6,45,34.0,0,-2.6999999999999993,-1.6000000000000014,1.0999999999999979,-0.28124999999999994,25,test,2026-02-11
5814,Alperen Sengun,2/11/26,LAC,pra,1,1,1,experienced,high,5.5,36.5,34.9,36.0,10.8,45,34.0,0,-31.0,-29.4,1.1000000000000014,-2.8703703703703702,31,test,2026-02-11
5817,Alperen Sengun,2/11/26,LAC,ra,0,1,1,experienced,high,15.5,15.7,15.8,16.4,4.7,45,34.0,0,-0.1999999999999993,-0.3000000000000007,0.5999999999999979,-0.04255319148936155,15,test,2026-02-11
5812,Alperen Sengun,2/11/26,LAC,rebounds,0,1,1,experienced,high,9.5,9.4,10.0,10.6,3.5,45,34.0,0,0.09999999999999964,-0.5,0.5999999999999996,0.02857142857142847,9,test,2026-02-11
5820,Alperen Sengun,2/10/26,LAC,assists,0,1,0,experienced,high,6.5,6.3,6.0,6.2,2.6,44,34.0,2,0.20000000000000018,0.5,0.20000000000000018,0.07692307692307698,5,test,2026-02-10
5823,Alperen Sengun,2/10/26,LAC,pa,1,1,0,experienced,high,25.5,27.1,24.2,24.2,,44,34.0,2,-1.6000000000000014,1.3000000000000007,0.0,,27,test,2026-02-10
5818,Alperen Sengun,2/10/26,LAC,points,1,1,0,experienced,high,19.5,20.8,18.2,18.0,8.1,44,34.0,2,-1.3000000000000007,1.3000000000000007,-0.1999999999999993,-0.16049382716049393,22,test,2026-02-10
5822,Alperen Sengun,2/10/26,LAC,pr,1,1,0,experienced,high,28.5,30.2,28.3,30.0,,44,34.0,2,-1.6999999999999993,0.1999999999999993,1.6999999999999993,,29,test,2026-02-10
5821,Alperen Sengun,2/10/26,LAC,pra,1,1,0,experienced,high,6.5,36.5,34.3,36.2,,44,34.0,2,-30.0,-27.799999999999997,1.9000000000000057,,34,test,2026-02-10
5824,Alperen Sengun,2/10/26,LAC,ra,0,1,0,experienced,high,15.5,15.8,16.1,18.2,,44,34.0,2,-0.3000000000000007,-0.6000000000000014,2.099999999999998,,12,test,2026-02-10
5819,Alperen Sengun,2/10/26,LAC,rebounds,0,1,0,experienced,high,9.5,9.4,10.1,12.0,3.5,44,34.0,2,0.09999999999999964,-0.5999999999999996,1.9000000000000004,0.02857142857142847,7,test,2026-02-10
5827,Alperen Sengun,2/7/26,OKC,assists,1,0,0,experienced,high,5.5,6.2,5.8,4.8,2.5,43,34.0,1,-0.7000000000000002,-0.2999999999999998,-1.0,-0.2800000000000001,11,test,2026-02-07
5830,Alperen Sengun,2/7/26,OKC,pa,1,0,0,experienced,high,23.5,27.1,24.3,21.2,,43,34.0,1,-3.6000000000000014,-0.8000000000000007,-3.1000000000000014,,28,test,2026-02-07
